Player,Inns,Runs,Avg,Strikerate,4s,6s,Cluster,Grade
Scott Boland,7.0,15.0,7.5,71.43,2,0,1,B
Arjun Nair,1.0,15.0,15.0,115.38,1,0,1,B
Brendan Doggett,2.0,15.0,15.0,125.0,3,0,1,B
Clint Hinchliffe,2.0,14.0,14.0,140.0,1,0,1,B
Nathan Coulter-Nile,4.0,13.0,4.33,118.18,1,1,1,B
Wes Agar,4.0,12.0,12.0,133.33,1,0,1,B
Will Parker,2.0,12.0,12.0,120.0,1,0,1,B
Jackson Bird,1.0,12.0,12.0,109.09,1,0,1,B
Mitchell Owen,1.0,11.0,11.0,157.14,2,0,1,B
Jason Behrendorff,4.0,11.0,11.0,122.22,1,0,1,B
Liam Scott,1.0,10.0,10.0,83.33,1,0,1,B
Matthew Kuhnemann,2.0,10.0,10.0,100.0,1,0,1,B
Ben Laughlin,2.0,8.0,8.0,72.73,1,0,1,B
Keemo Paul,1.0,8.0,8.0,88.89,1,0,1,B
Zak Evans,2.0,8.0,4.0,114.29,0,1,1,B
Adam Milne,5.0,8.0,4.0,100.0,0,0,1,B
Riley Meredith,4.0,7.0,2.33,77.78,1,0,1,B
Josh Lalor,4.0,7.0,1.75,53.85,1,0,1,B
Peter Hatzoglou,4.0,6.0,1.5,40.0,1,0,1,B
Jon Holland,1.0,5.0,5.0,100.0,0,0,1,B
Sean Abbott,1.0,5.0,5.0,125.0,0,0,1,B
Simon Milenko,3.0,4.0,1.33,40.0,0,0,1,B
Morne Morkel,2.0,4.0,2.0,36.36,0,0,1,B
Jake Ball,1.0,4.0,4.0,66.67,1,0,1,B
Michael Neser,3.0,3.0,3.0,33.33,0,0,1,B
Billy Stanlake,3.0,3.0,3.0,25.0,0,0,1,B
Liam O Conner,1.0,2.0,2.0,50.0,0,0,1,B
Jack Wood,1.0,2.0,2.0,66.67,0,0,1,B
Johan Botha,2.0,2.0,2.0,100.0,0,0,1,B
Zahir Khan,1.0,2.0,2.0,50.0,0,0,1,B
Lance Morris,1.0,2.0,2.0,33.33,0,0,1,B
Jonathan Cook,1.0,2.0,2.0,100.0,0,0,1,B
Cameron Valente,1.0,1.0,1.0,20.0,0,0,1,B
Sandeep Lamichhane,1.0,1.0,1.0,100.0,0,0,1,B
Noor Ahmad,1.0,1.0,1.0,50.0,0,0,1,B
Fawad Ahmed,2.0,1.0,0.5,25.0,0,0,1,B
Peter Siddle,1.0,0.0,0.0,0.0,0,0,1,B
Nick Winter,2.0,0.0,0.0,0.0,0,0,1,B
Benny Howell,1.0,0.0,0.0,0.0,0,0,1,B
Ben Manenti,1.0,0.0,0.0,0.0,0,0,1,B
Lloyd Pope,1.0,0.0,0.0,0.0,0,0,1,B
