Player,Runs,Strikerate,4s,6s,Cluster,Grade
Mandeep Singh,562.0,131.002331002331,38.0,19.0,1,B
Chris Gayle,1339.0,143.20855614973263,111.0,92.0,0,A
Nathan Ellis,18.0,112.5,0.0,1.0,1,B
Lalit Yadav,68.0,93.15068493150685,7.0,0.0,1,B
Avesh Khan,9.0,150.0,2.0,0.0,1,B
Tim Southee,64.0,106.66666666666669,5.0,1.0,1,B
Kyle Jamieson,65.0,118.1818181818182,5.0,3.0,1,B
Adam Milne,16.0,94.11764705882354,0.0,1.0,1,B
Rahul Chahar,28.0,93.33333333333331,3.0,0.0,1,B
Andre Russell,1126.0,181.3204508856683,71.0,106.0,0,A
Sam Curran,337.0,149.77777777777777,30.0,18.0,1,B
Deepak Chahar,65.0,127.45098039215686,2.0,4.0,1,B
Mohammed Shami,23.0,82.14285714285714,1.0,0.0,1,B
David Warner,1435.0,134.23760523854068,124.0,41.0,0,A
Kedar Jadhav,303.0,98.05825242718448,29.0,7.0,1,B
Tabraiz Shamsi,2.0,50.0,0.0,0.0,1,B
Tim David,1.0,33.333333333333336,0.0,0.0,1,B
Wanindu Hasaranga de Silva,1.0,50.0,0.0,0.0,1,B
Sandeep Sharma,26.0,89.65517241379311,3.0,0.0,1,B
Sachin Baby,7.0,41.1764705882353,0.0,0.0,1,B
Mohammed Siraj,66.0,86.84210526315789,5.0,2.0,1,B
Yuzvendra Chahal,17.0,34.0,0.0,0.0,1,B
Anmolpreet Singh,16.0,114.28571428571428,2.0,1.0,1,B
Prabhsimran Singh,50.0,90.9090909090909,4.0,2.0,1,B
Dawid Malan,26.0,100.0,1.0,1.0,1,B
Chris Jordan,61.0,117.3076923076923,3.0,3.0,1,B
Jos Buttler,1441.0,151.52471083070452,144.0,64.0,0,A
Jonny Bairstow,1038.0,142.1917808219178,99.0,46.0,0,A
Vijay Shankar,611.0,124.94887525562372,33.0,27.0,1,B
Dhawal Kulkarni,14.0,116.66666666666669,1.0,0.0,1,B
Rajat Patidar,71.0,114.51612903225806,3.0,3.0,1,B
Daniel Sams,6.0,75.0,0.0,0.0,1,B
Pat Cummins,239.0,140.58823529411765,14.0,16.0,1,B
Washington Sundar,208.0,113.66120218579236,17.0,6.0,1,B
Ravi Bishnoi,8.0,50.0,1.0,0.0,1,B
Arshdeep Singh,2.0,33.333333333333336,0.0,0.0,1,B
Virat Singh,15.0,57.69230769230769,1.0,0.0,1,B
Jagadeesha Suchith,20.0,95.23809523809524,2.0,1.0,1,B
Navdeep Saini,31.0,88.57142857142857,3.0,0.0,1,B
Prasidh Krishna,3.0,25.0,0.0,0.0,1,B
Manan Vohra,97.0,112.7906976744186,7.0,6.0,1,B
Kamlesh Nagarkoti,22.0,66.66666666666667,1.0,0.0,1,B
Murugan Ashwin,23.0,65.71428571428571,1.0,0.0,1,B
Harbhajan Singh,34.0,79.06976744186046,3.0,1.0,1,B
Mujeeb Ur Rahman,12.0,80.0,2.0,0.0,1,B
Khaleel Ahmed,1.0,20.0,0.0,0.0,1,B
Jhye Richardson,15.0,62.5,2.0,0.0,1,B
Riley Meredith,0.0,0.0,0.0,0.0,1,B
Ajinkya Rahane,884.0,123.98316970546983,97.0,16.0,0,A
Chris Woakes,32.0,106.66666666666669,3.0,1.0,1,B
Shahbaz Nadeem,13.0,76.47058823529412,1.0,0.0,1,B
T Natarajan,3.0,60.0,0.0,0.0,1,B
Marco Jansen,0.0,0.0,0.0,0.0,1,B
Ben Stokes,604.0,130.4535637149028,57.0,17.0,1,B
Chris Lynn,945.0,134.6153846153846,101.0,43.0,0,A
James Pattinson,15.0,115.3846153846154,2.0,0.0,1,B
Murali Vijay,108.0,94.73684210526316,10.0,2.0,1,B
Shane Watson,1252.0,136.3834422657952,119.0,68.0,0,A
Anrich Nortje,7.0,116.66666666666669,0.0,0.0,1,B
Karun Nair,322.0,133.60995850622407,25.0,13.0,1,B
Krishnappa Gowtham,186.0,169.0909090909091,13.0,12.0,1,B
Aaron Finch,402.0,117.88856304985336,34.0,16.0,1,B
Josh Philippe,78.0,101.2987012987013,9.0,1.0,1,B
Mitchell Marsh,0.0,0.0,0.0,0.0,1,B
Jofra Archer,195.0,157.25806451612902,11.0,14.0,1,B
Nikhil Naik,8.0,42.10526315789474,1.0,0.0,1,B
Kuldeep Yadav,37.0,69.81132075471699,3.0,0.0,1,B
Umesh Yadav,28.0,73.6842105263158,3.0,1.0,1,B
Dale Steyn,1.0,50.0,0.0,0.0,1,B
Ankit Rajpoot,20.0,71.42857142857143,1.0,1.0,1,B
Isuru Udana,15.0,136.36363636363637,1.0,1.0,1,B
Sheldon Cottrell,0.0,0.0,0.0,0.0,1,B
Andrew Tye,38.0,82.6086956521739,2.0,2.0,1,B
Varun Aaron,4.0,23.529411764705884,0.0,0.0,1,B
Narayan Jagadeesan,33.0,113.79310344827586,4.0,0.0,1,B
Alex Carey,32.0,110.34482758620688,0.0,1.0,1,B
Tom Banton,18.0,90.0,1.0,1.0,1,B
Gurkeerat Singh Mann,169.0,112.66666666666669,19.0,2.0,1,B
Imran Tahir,15.0,125.0,2.0,0.0,1,B
Tushar Deshpande,21.0,175.0,2.0,1.0,1,B
Rinku Singh,77.0,101.3157894736842,6.0,2.0,1,B
Praveen Dubey,7.0,53.84615384615385,0.0,0.0,1,B
Shreevats Goswami,52.0,118.1818181818182,6.0,1.0,1,B
Parthiv Patel,526.0,139.52254641909815,68.0,14.0,1,B
Colin de Grandhomme,177.0,133.08270676691728,8.0,12.0,1,B
Yusuf Pathan,300.0,122.44897959183672,23.0,12.0,1,B
Colin Ingram,184.0,119.48051948051948,20.0,5.0,1,B
Keemo Paul,18.0,75.0,1.0,1.0,1,B
Yuvraj Singh,163.0,110.13513513513512,13.0,8.0,1,B
Ben Cutting,114.0,152.0,6.0,9.0,1,B
Mitchell McClenaghan,22.0,84.61538461538461,3.0,1.0,1,B
Rasikh Salam,5.0,125.0,0.0,0.0,1,B
Mayank Markande,27.0,93.10344827586206,3.0,0.0,1,B
Hanuma Vihari,4.0,50.0,0.0,0.0,1,B
Prayas Ray Barman,19.0,79.16666666666667,2.0,0.0,1,B
Hardus Viljoen,3.0,42.85714285714285,0.0,0.0,1,B
Sandeep Lamichhane,0.0,0.0,0.0,0.0,1,B
Mohit Sharma,10.0,66.66666666666667,1.0,0.0,1,B
Ishant Sharma,10.0,333.3333333333333,1.0,1.0,1,B
Alzarri Joseph,15.0,115.3846153846154,2.0,0.0,1,B
Akshdeep Nath,70.0,100.0,6.0,2.0,1,B
Pawan Negi,12.0,70.58823529411765,1.0,0.0,1,B
Harry Gurney,1.0,20.0,0.0,0.0,1,B
Siddhesh Lad,15.0,115.3846153846154,1.0,1.0,1,B
Mitchell Santner,32.0,139.1304347826087,0.0,3.0,1,B
Joe Denly,0.0,0.0,0.0,0.0,1,B
Carlos Brathwaite,86.0,148.27586206896552,2.0,8.0,1,B
Colin Munro,147.0,132.43243243243242,16.0,8.0,1,B
Ricky Bhui,7.0,41.1764705882353,0.0,0.0,1,B
Ashton Turner,3.0,30.0,0.0,0.0,1,B
Stuart Binny,114.0,144.30379746835442,7.0,6.0,1,B
Sam Billings,108.0,131.70731707317074,8.0,5.0,1,B
Amit Mishra,22.0,84.61538461538461,2.0,0.0,1,B
Sherfane Rutherford,73.0,135.1851851851852,2.0,7.0,1,B
Prithvi Raj,0.0,0.0,0.0,0.0,1,B
KC Cariappa,9.0,300.0,0.0,1.0,1,B
Dhruv Shorey,13.0,76.47058823529412,0.0,1.0,1,B
Heinrich Klaasen,66.0,115.78947368421052,5.0,1.0,1,B
Barinder Sran,6.0,60.0,0.0,0.0,1,B
Martin Guptill,81.0,152.83018867924528,4.0,7.0,1,B
Ish Sodhi,7.0,41.1764705882353,0.0,0.0,1,B
Basil Thampi,4.0,57.142857142857146,0.0,0.0,1,B
Mark Wood,1.0,33.333333333333336,0.0,0.0,1,B
Gautam Gambhir,85.0,96.5909090909091,8.0,1.0,1,B
Daniel Christian,26.0,78.78787878787878,0.0,1.0,1,B
Brendon McCullum,127.0,144.3181818181818,16.0,6.0,1,B
Vinay Kumar,6.0,200.0,1.0,0.0,1,B
D'Arcy Short,115.0,116.16161616161617,11.0,5.0,1,B
Ben Laughlin,1.0,25.0,0.0,0.0,1,B
Pradeep Sangwan,0.0,0.0,0.0,0.0,1,B
Billy Stanlake,5.0,250.0,1.0,0.0,1,B
Akila Dananjaya,4.0,80.0,0.0,0.0,1,B
Mitchell Johnson,16.0,145.45454545454547,2.0,0.0,1,B
Corey Anderson,17.0,77.27272727272727,0.0,1.0,1,B
Liam Plunkett,1.0,33.333333333333336,0.0,0.0,1,B
Manoj Tiwary,47.0,106.8181818181818,4.0,1.0,1,B
Alex Hales,148.0,125.42372881355932,13.0,6.0,1,B
Jean-Paul Duminy,36.0,90.0,3.0,1.0,1,B
Karn Sharma,0.0,0.0,0.0,0.0,1,B
Naman Ojha,1.0,25.0,0.0,0.0,1,B
Prashant Chopra,8.0,133.33333333333334,2.0,0.0,1,B
Javon Searles,8.0,133.33333333333334,0.0,1.0,1,B
Anureet Singh,3.0,75.0,0.0,0.0,1,B
