Player,Runs,Avg,Strikerate,Wickets,Best_Bowilng,Economy,4w,6w,Cluster,Grade
SM Curran,140,70.0,52.0,2,1/47,8.08,0,0,0,B
SN Thakur,102,51.0,51.0,2,1/31,6.0,0,0,0,B
T Shamsi,212,23.56,25.22,9,4/60,5.6,1,0,0,B
TA Boult,504,36.0,39.0,14,3/37,5.54,0,0,1,A
Tanzim Hasan Sakib,80,26.67,20.0,3,3/80,8.0,0,0,0,B
Taskin Ahmed,305,61.0,66.0,5,2/43,5.55,0,0,1,A
TG Southee,256,36.57,28.29,7,3/100,7.76,0,0,0,B
TM Head,101,50.5,63.0,2,2/21,4.81,0,0,0,B
Usama Mir,248,62.0,52.5,4,2/45,7.09,0,0,0,B
V Kohli,15,15.0,21.0,1,1/13,4.29,0,0,0,B
Vikramjit Singh,52,0.0,0.0,0,0/9,7.43,0,0,0,B
